Entry,Reaction Name,Description,Pathway IDs
R01071,1-(5-phospho-D-ribosyl)-ATP:diphosphate phospho-alpha-D-ribosyl-transferase,1-(5-Phospho-D-ribosyl)-ATP + Diphosphate <=> ATP + 5-Phospho-alpha-D-ribose 1-diphosphate,"Histidine metabolism,Biosynthesis of secondary metabolites,Biosynthesis of amino acids"
R04035,phosphoribosyl-ATP pyrophosphohydrolase,1-(5-Phospho-D-ribosyl)-ATP + H2O <=> Phosphoribosyl-AMP + Diphosphate,"Histidine metabolism,Biosynthesis of secondary metabolites,Biosynthesis of amino acids"
R04037,"1-(5-phospho-D-ribosyl)-AMP 1,6-hydrolase",Phosphoribosyl-AMP + H2O <=> 5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide,"Histidine metabolism,Biosynthesis of secondary metabolites,Biosynthesis of amino acids"
R04640,N-(5'-phospho-D-ribosylformimino)-5-amino-1- (5''-phospho-D-ribosyl)-4-imidazolecarboxamide ketol-isomerase;,5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide <=> N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide,"Histidine metabolism,Biosynthesis of secondary metabolites,Biosynthesis of amino acids"
R04558,5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-beta-D-ribosyl)imidazole-4-carboxamide D-erythro-1-(imidazol-4-yl)glycerol 3-phosphate-lyase (L-glutamine-hydrolysing; 5-amino-1-(5-phospho-beta-D-ribosyl)imidazole-4-carboxamide-forming),N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide + L-Glutamine <=> D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate + 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide + L-Glutamate,"Histidine metabolism,Biosynthesis of secondary metabolites,Biosynthesis of amino acids"
R03457,D-erythro-1-(imidazol-4-yl)glycerol 3-phosphate hydro-lyase,D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate <=> 3-(Imidazol-4-yl)-2-oxopropyl phosphate + H2O,"Histidine metabolism,Biosynthesis of secondary metabolites,Biosynthesis of amino acids"
R03243,5-amino-2-oxopentanoate:2-oxoglutarate aminotransferase,L-Histidinol phosphate + 2-Oxoglutarate <=> 3-(Imidazol-4-yl)-2-oxopropyl phosphate + L-Glutamate,"Histidine metabolism,Biosynthesis of secondary metabolites,Biosynthesis of amino acids"
R03013,L-histidinol-phosphate phosphohydrolase,L-Histidinol phosphate + H2O <=> L-Histidinol + Orthophosphate,"Histidine metabolism,Biosynthesis of secondary metabolites,Biosynthesis of amino acids"
R03012,L-histidinol:NAD+ oxidoreductase,L-Histidinol + NAD+ <=> L-Histidinal + NADH + H+,"Histidine metabolism,Biosynthesis of secondary metabolites"
R09543,S-adenosyl-L-methionine:malonyl-[acyl-carrier protein] O-methyltransferase,S-Adenosyl-L-methionine + Malonyl-[acyl-carrier protein] <=> S-Adenosyl-L-homocysteine + Malonyl-[acp] methyl ester,"Biotin metabolism,Biosynthesis of cofactors"
R10115,malonyl-[acyl-carrier protein]-methyl-ester:malonyl-[acyl-carrier protein] C-acyltransferase,Malonyl-[acp] methyl ester + Malonyl-[acyl-carrier protein] <=> 3-Ketoglutaryl-[acp] methyl ester + CO2 + Acyl-carrier protein,"Biotin metabolism,Biosynthesis of cofactors"
R10116,3-hydroxyglutaryl-[acp]-methyl-ester:NADP+ oxidoreductase,3-Ketoglutaryl-[acp] methyl ester + NADPH + H+ <=> 3-Hydroxyglutaryl-[acp] methyl ester + NADP+,"Biotin metabolism,Biosynthesis of cofactors"
R10117,3-hydroxyglutaryl-[acp]-methyl-ester hydro-lyase,3-Hydroxyglutaryl-[acp] methyl ester <=> Enoylglutaryl-[acp] methyl ester + H2O,"Biotin metabolism,Biosynthesis of cofactors"
R10118,glutaryl-[acp]-methyl-ester:NADP+ oxidoreductase,Enoylglutaryl-[acp] methyl ester + NADPH + H+ <=> Glutaryl-[acp] methyl ester + NADP+,"Biotin metabolism,Biosynthesis of cofactors"
R09725,pimeloyl-[acyl-carrier protein]-methyl-ester hydrolase,Pimeloyl-[acyl-carrier protein] methyl ester + H2O <=> Pimeloyl-[acyl-carrier protein] + Methanol,"Biotin metabolism,Biosynthesis of cofactors"
R02736,beta-D-glucose-6-phosphate:NADP+ 1-oxoreductase,"beta-D-Glucose 6-phosphate + NADP+ <=> D-Glucono-1,5-lactone 6-phosphate + NADPH + H+","Pentose phosphate pathway,Glutathione metabolism,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Carbon metabolism"
R02035,"6-phospho-D-glucono-1,5-lactone lactonohydrolase","D-Glucono-1,5-lactone 6-phosphate + H2O <=> 6-Phospho-D-gluconate","Pentose phosphate pathway,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Carbon metabolism"
R01528,6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating),6-Phospho-D-gluconate + NADP+ <=> D-Ribulose 5-phosphate + CO2 + NADPH + H+,"Pentose phosphate pathway,Glutathione metabolism,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Carbon metabolism"
R10419,hydrogen sulfide:NAD+ oxidoreductase (CoA-dependent),Hydrogen sulfide + NAD+ <=> Sulfur + NADH + H+,"Sulfur metabolism,Sulfur cycle"
R03533,donor:sulfur oxidoreductase,Sulfur + Reduced acceptor <=> Hydrogen sulfide + Acceptor,"Sulfur metabolism,Microbial metabolism in diverse environments,Sulfur cycle"
R00529,ATP:sulfate adenylyltransferase,ATP + Sulfate <=> Diphosphate + Adenylyl sulfate,"Purine metabolism,Monobactam biosynthesis,Sulfur metabolism,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Sulfur cycle"
R08553,"AMP,sulfite:acceptor oxidoreductase (adenosine-5'-phosphosulfate-forming)",AMP + Sulfite + FAD <=> Adenylyl sulfate + FADH2,"Sulfur metabolism,Microbial metabolism in diverse environments,Sulfur cycle"
R00861,"[DsrC protein]-trisulfide,NAD+ oxidoreductase (sulfite-forming)",Protein-trisulfide + NAD+ + 3 H2O <=> Protein dithiol + Sulfite + NADH + H+,"Sulfur metabolism,Microbial metabolism in diverse environments,Sulfur cycle"
R13227,hydrogen sulfide:[DsrC protein]-dithiol oxidoreductase (trisulfide-forming),Hydrogen sulfide + Protein dithiol + 2 p-Benzoquinone <=> Protein-trisulfide + 2 Hydroquinone,"Sulfur metabolism,Microbial metabolism in diverse environments,Sulfur cycle"
R12660,,3 Malonyl-CoA + 5 Methylmalonyl-CoA + 7 NADPH + 7 H+ <=> Protomycinolide IV + 8 CoA + 8 CO2 + 4 H2O + 7 NADP+,"Biosynthesis of 12-, 14- and 16-membered macrolides,Biosynthesis of secondary metabolites"
